Date,Open,High,Low,Close,Volume
2018-01-02,39.7761820981515,40.27642306888876,39.565798181369,40.26707077026367,102223600
2018-01-03,40.330187330739136,40.802378551359595,40.196947390215975,40.26005935668945,118071600
2018-01-04,40.33250956536368,40.54990585246517,40.22498313390522,40.447052001953125,89738400
2018-01-05,40.54290869011677,40.9940590344742,40.451743391332485,40.907569885253906,94640000
2018-01-08,40.75563049316406,41.05016372371372,40.657449182790344,40.75563049316406,82271200
2018-01-09,40.80237298108045,40.92158802389,40.53588956955712,40.750946044921875,86336000
2018-01-10,40.47746023211193,40.74394370972359,40.44005816620148,40.74160385131836,95839600
2018-01-11,40.81173298285246,41.02211693438228,40.78835936614299,40.973026275634766,74670800
2018-01-12,41.18340176092249,41.45923751339591,41.05951054984298,41.396121978759766,101672400
2018-01-16,41.58546096764788,41.933760953052094,41.174049020608194,41.18573760986328,118263600
2018-01-17,41.176394373281866,41.90104426428869,40.923939337469655,41.86598205566406,137547200
2018-01-18,41.9290910063812,42.099736587663685,41.66728368925117,41.903377532958984,124773600
2018-01-19,41.75143183103793,41.97817691644085,41.47092351341417,41.71636962890625,129700400
2018-01-22,41.44522336108701,41.55742601082084,41.281593753796436,41.37509536743164,108434400
2018-01-23,41.44521681046371,41.94545785474811,41.33301417846406,41.384437561035156,130756400
2018-01-24,41.433527740131495,41.44521633156787,40.48680890350173,40.725242614746094,204420400
2018-01-25,40.793030969529916,40.89588486778186,39.862676869004524,39.99825668334961,166116000
2018-01-26,40.20631269584493,40.20631269584493,39.75282231915957,40.09177017211914,156572000
2018-01-29,39.77618297744424,39.77618297744424,39.05387305096097,39.26191711425781,202561600
2018-01-30,38.693887061115404,39.124000098125286,38.499867866116375,39.03049850463867,184192800
2018-01-31,39.00711592226718,39.37411693794769,38.92062678192371,39.13801956176758,129915600
2018-02-01,39.07724875688061,39.41619648711814,38.98140730643512,39.21984100341797,188923200
2018-02-02,38.8037598511883,38.990766636131845,37.42459150008796,37.51809310913086,346375200
2018-02-05,37.19083407744985,38.30819507475602,36.46618412011472,36.580726623535156,290954000
2018-02-06,36.192689296369814,38.27079419819336,35.998670062167655,38.109500885009766,272975200
2018-02-07,38.12352220639921,38.195986484247946,37.18381931919892,37.29368209838867,206434400
2018-02-08,37.46899249081761,37.63496190465887,36.2394291809823,36.267478942871094,217562000
2018-02-09,36.86598846911432,37.058449261240575,35.26291495408006,36.71107864379883,282690400
2018-02-12,37.20163266035302,38.46672273816519,36.96926786105699,38.18976593017578,243278000
2018-02-13,38.01138368785197,38.66857413140311,37.94096978650724,38.57234191894531,130196800
2018-02-14,38.26721478410091,39.32341248785229,38.22966380983118,39.283512115478516,162579600
2018-02-15,39.85151934431027,40.62606519891659,39.666099508224036,40.602596282958984,204588800
2018-02-16,40.454721563931344,41.03211125006785,40.31624316123592,40.47114944458008,160704400
2018-02-20,40.38195574267661,40.90066411551989,40.23408693219044,40.33501434326172,135722000
2018-02-21,40.56504027258118,40.86781542185468,40.13786518942926,40.15195083618164,149886400
2018-02-22,40.32328643776861,40.827912853294784,40.302163340873086,40.48758316040039,123967600
2018-02-23,40.762198136114456,41.22692422009872,40.73168460558105,41.19171905517578,135249600
2018-02-26,41.39122380504643,42.10474259221506,41.35836445790183,42.00616455078125,152648800
2018-02-27,42.03667174392078,42.360569950834076,41.81604319718002,41.870025634765625,155712400
2018-02-28,42.074225856264114,42.39343245337469,41.79022800216865,41.80665588378906,151128400
2018-03-01,41.90522615725141,42.19626857117151,40.52513035651895,41.0743522644043,195208000
2018-03-02,40.55799246886187,41.37947957033199,40.47584232615504,41.35835647583008,153816000
2018-03-05,41.123656827127995,41.71747451781942,40.96170589668479,41.50154113769531,113605600
2018-03-06,41.75738166984041,41.83718244863535,41.33959690861858,41.466339111328125,95154000
2018-03-07,41.06027491477236,41.273862430596104,40.903019234965775,41.081398010253906,126814000
2018-03-08,41.187022122543205,41.57194742905669,41.090793481964944,41.529701232910156,95096400
2018-03-09,41.76909326665948,42.24790123821032,41.63530652700031,42.24320602416992,128740800
2018-03-12,42.31597708610445,42.80887083210406,42.29720338770059,42.651615142822266,128828400
2018-03-13,42.855815990569,43.06940353794993,42.069537475364825,42.240875244140625,126774000
2018-03-14,42.32303598789745,42.36997741255425,41.73390982704102,41.881778717041016,117473600
2018-03-15,41.89584418772932,42.30424194138419,41.79492034377192,41.93104934692383,90975200
2018-03-16,41.931041644975714,42.04135589872213,41.6892900458461,41.78317642211914,157618800
2018-03-19,41.618891880252036,41.65409704324905,40.75985008912387,41.144775390625,133787200
2018-03-20,41.13069152832031,41.49683953309172,41.06027762400275,41.13069152832031,78597600
2018-03-21,41.08375108302355,41.09548733194154,40.19654510210862,40.19889450073242,148219600
2018-03-22,39.900805674877645,40.529828421739076,39.57221223717389,39.630889892578125,165963200
2018-03-23,39.522912207842715,39.882019088604274,38.71316146850586,38.71316146850586,164115200
2018-03-26,39.4478137655839,40.62840784209897,39.06523432694473,40.55095291137695,150164800
2018-03-27,40.7645621509346,41.109587246802526,39.177918738712044,39.511207580566406,163690400
2018-03-28,39.25534362385068,39.90549291864882,38.77184041292756,39.074615478515625,166674000
2018-03-29,39.386786515119255,40.31154688271614,39.173199002522075,39.37974548339844,153594000
2018-04-02,39.112164667785166,39.651999631936924,38.602843220212876,39.121551513671875,150347200
2018-04-03,39.34688194941007,39.60741083952156,38.6990820303163,39.52291488647461,121112000
2018-04-04,38.69908517590817,40.37256933160999,38.6732668664508,40.2786865234375,138422000
2018-04-05,40.50634679138119,40.893617762904796,40.38899151741661,40.5579833984375,107732800
2018-04-06,40.128472267405044,40.482883990273784,39.47832289128992,39.520572662353516,140021200
2018-04-09,39.87263625048639,40.62605524022441,39.865595219285055,39.91253662109375,116070800
2018-04-10,40.60493852359392,40.839649150897934,40.25991361494503,40.66361618041992,113634400
2018-04-11,40.42420849279554,40.82087000785947,40.29981215251393,40.4734992980957,89726400
2018-04-12,40.70116744671329,41.07435645439156,40.61432208628652,40.87250518798828,91557200
2018-04-13,41.0227225756048,41.27151526401716,40.804443414359966,41.010986328125,100497200
2018-04-16,41.08139942006313,41.353664598056646,41.0344580124711,41.266822814941406,86313600
2018-04-17,41.42407623230813,41.99911650197846,41.40529895401935,41.83481979370117,106421600
2018-04-18,41.733895247128224,41.97095526813903,41.515616087100334,41.740936279296875,83018000
2018-04-19,40.78330351886619,41.16588285803831,40.525124064983366,40.5579833984375,139235200
2018-04-20,40.04163301530664,40.1871524529709,38.82817596401007,38.896244049072266,261964400
